registro;acta;semana;capitulo;competencia;abs_inicial;abs_final;civ;item;descripcion;und;longitud;ancho;espesor;cantidad;valor_unitario;costo_directo;calzada;tramo_inicio;tramo_final;pk_id;tramo;observaciones;contrato_id
6176;12;57;7.PLUVIAL REDES DE ALCANTARILLADO;IDU;2 285.50;2 285.50;1000131;NP-177;"RELLENO EN TRITURADO DE 3/4"" (INCLUYE TRANSPORTE, SUMINISTRO, EXTENDIDO A MAQUINA Y COLOCACION)";M3;18.5;1.55;0.151;4.33;93985;406955;OCCIDENTAL;PZ 59;PZ 60;91062379;TRAMO 2;"cama en triturado para tubería de 24"" pvc entre pz59 y pz60";2
6177;12;57;7.PLUVIAL REDES DE ALCANTARILLADO;IDU;2 285.50;2 285.50;1000131;7.10.;RELLENO PARA REDES EN SUBBASE GRANULAR B-200 (Suministro, Extendido, Humedecimiento y Compactación);M3;18.5;1.55;1.835;52.62;59152;3112578;OCCIDENTAL;PZ 59;PZ 60;91062379;TRAMO 2;"relleno en sbg 200 para tubería de 24"" pvc entre pz59 y pz60";2
6178;12;57;7.PLUVIAL REDES DE ALCANTARILLADO;IDU;2285.5;2285.5;1000131;NP-247;"TUBERIA PVC U.M. EXT/INT LISO NORMA NTC 5070 D=24"" (Incluye Suministro e Instalación)";ML;18.5;0;0;18.5;395166;7310571;OCCIDENTAL;PZ 59;PZ 60;91062379;TRAMO 2;"instalación tubería de 24"" pvc entre pz59 y pz60";2
6180;12;57;1.PRELIMINARES;IDU;20;30;1001382;1.02.;EXCAVACION MECANICA EN MATERIAL COMUN (Incluye Cargue);M3;10;12.185;0.1;12.18;4819;58695;OCCIDENTAL;CL170;CL172;503549;TRAMO 1;excavación mecánica vía;2
6181;12;57;1.PRELIMINARES;IDU;20;30;1001382;1.02.;EXCAVACION MECANICA EN MATERIAL COMUN (Incluye Cargue);M3;10;12.185;0.7;85.3;4819;411061;OCCIDENTAL;CL170;CL172;503549;TRAMO 1;excavación mecánica vía;2
6182;12;57;1.PRELIMINARES;IDU;20;30;1001382;1.10.;TRANSPORTE Y DISPOSICION FINAL DE ESCOMBROS EN SITIO AUTORIZADO (distancia de transporte 21 Km). A distancia mayor del acarreo libre (90 m) en sitio autorizado por la entidad Ambiental competente.;M3;46;0;0;46;19077;877542;OCCIDENTAL;CL170;CL172;503549;TRAMO 1;transporte y disposición final de exc mecánica vía;2
6183;12;57;1.PRELIMINARES;IDU;20;30;1001382;NP-005;TRANSPORTE DE ESCOMBROS EN SITIO AUTORIZADO (DISTANCIA DE TRANSPORTE  1 KM). A DISTANCIA MAYOR DEL ACARREO LIBRE (90 M) EN SITIO AUTORIZADO POR LA ENTIDAD AMBIENTAL COMPETENTE. (SOBREACARREO MATERIAL ORGANICO);m3-km;46;1;0;671.6;892;599067;OCCIDENTAL;CL170;CL172;503549;TRAMO 1;transporte y disposición final de exc mecánica vía;2
6185;12;57;7.PLUVIAL REDES DE ALCANTARILLADO;IDU;514;516;1008484;NP-295;EXCAVACIÓN MECÁNICA PARA ZANJA DE REDES DE ALCANTARILLADO (NO INCLUYE CARGUE, INCLUYE ACOPIO DE MATERIAL),. SEGÚN NORMA EG-104;M3;1.44;3.1416;1.3;5.88;11386;66950;ORIENTAL;CL173;CL175;91062399;TRAMO 1;excavación mecánica para pozo pz 47a;2
6186;12;57;7.PLUVIAL REDES DE ALCANTARILLADO;IDU;514;516;1008484;NP-177;"RELLENO EN TRITURADO DE 3/4"" (INCLUYE TRANSPORTE, SUMINISTRO, EXTENDIDO A MAQUINA Y COLOCACION)";M3;1.44;3.1416;0.15;0.68;93985;63910;ORIENTAL;CL173;CL175;91062399;TRAMO 1;cama en triturado para placa pozo pz 47a;2
6187;12;57;7.PLUVIAL REDES DE ALCANTARILLADO;IDU;514;516;1008484;NP-062;PLACA FONDO D=1.95 M POZO INSPEC. (PREFABRICADA. INCL. SUMIN, INST.);UN;1;0;0;1;1227520;1227520;ORIENTAL;CL173;CL175;91062399;TRAMO 1;placa fondo  pozo pz 47a;2
6188;12;57;1.PRELIMINARES;IDU;80;100;1001382;1.03.;EXCAVACION MANUAL EN MATERIAL COMUN. Incluye cargue.;M3;20;0.3;0.95;5.7;23261;132588;OCCIDENTAL;CL172;CL172;503549;TRAMO 1;excavación manual para geodren costado der;2
6189;12;57;3.PAVIMENTOS;IDU;80;100;1001382;3.09.;GEODRÉN VIAL H= 1.0m o DRENAFLEX PLANAR H= 1.0m, TUBERÍA DE 100mm (Incluye colocación base granular clase C, suministro y colocación geodren);ML;20;0;0;20;71026;1420520;OCCIDENTAL;CL172;CL172;503549;TRAMO 1;geodren costado der via;2
6190;12;57;1.PRELIMINARES;IDU;30;30;1001382;1.03.;EXCAVACION MANUAL EN MATERIAL COMUN. Incluye cargue.;M3;0.5;0.5;0.67;0.17;23261;3954;OCCIDENTAL;CL172;CL172;503549;TRAMO 1;apique reconocimiento red matriz;2
6191;12;57;1.PRELIMINARES;IDU;30;30;1001382;1.10.;TRANSPORTE Y DISPOSICION FINAL DE ESCOMBROS EN SITIO AUTORIZADO (distancia de transporte 21 Km). A distancia mayor del acarreo libre (90 m) en sitio autorizado por la entidad Ambiental competente.;M3;48;0;0;48;19077;915696;OCCIDENTAL;CL170;CL172;503549;TRAMO 1;transporte y disposición de escombros via;2
6192;12;57;1.PRELIMINARES;IDU;30;30;1001382;NP-005;TRANSPORTE DE ESCOMBROS EN SITIO AUTORIZADO (DISTANCIA DE TRANSPORTE  1 KM). A DISTANCIA MAYOR DEL ACARREO LIBRE (90 M) EN SITIO AUTORIZADO POR LA ENTIDAD AMBIENTAL COMPETENTE. (SOBREACARREO MATERIAL ORGANICO);m3-km;48;1;0;700.8;892;625114;OCCIDENTAL;CL170;CL172;503549;TRAMO 1;transporte y disposición de escombros via;2
6193;12;57;1.PRELIMINARES;IDU;20;20;1001382;1.10.;TRANSPORTE Y DISPOSICION FINAL DE ESCOMBROS EN SITIO AUTORIZADO (distancia de transporte 21 Km). A distancia mayor del acarreo libre (90 m) en sitio autorizado por la entidad Ambiental competente.;M3;143;0;0;143;19077;2728011;OCCIDENTAL;CL170;CL172;503549;TRAMO 1;transporte y disposición de escombros via;2
6194;12;57;1.PRELIMINARES;IDU;20;20;1001382;NP-005;TRANSPORTE DE ESCOMBROS EN SITIO AUTORIZADO (DISTANCIA DE TRANSPORTE  1 KM). A DISTANCIA MAYOR DEL ACARREO LIBRE (90 M) EN SITIO AUTORIZADO POR LA ENTIDAD AMBIENTAL COMPETENTE. (SOBREACARREO MATERIAL ORGANICO);m3-km;143;1;0;2087.8;892;1862318;OCCIDENTAL;CL170;CL172;503549;TRAMO 1;transporte y disposición escombros via;2
6195;12;57;1.PRELIMINARES;IDU;600;600;1008484;NP-005;TRANSPORTE DE ESCOMBROS EN SITIO AUTORIZADO (DISTANCIA DE TRANSPORTE  1 KM). A DISTANCIA MAYOR DEL ACARREO LIBRE (90 M) EN SITIO AUTORIZADO POR LA ENTIDAD AMBIENTAL COMPETENTE. (SOBREACARREO MATERIAL ORGANICO);m3-km;124;1;0;1810.4;892;1614877;ORIENTAL;VIA;VIA;91062399;TRAMO 1;transporte y disposición escombros via;2
6196;12;57;1.PRELIMINARES;IDU;600;600;1008484;1.10.;TRANSPORTE Y DISPOSICION FINAL DE ESCOMBROS EN SITIO AUTORIZADO (distancia de transporte 21 Km). A distancia mayor del acarreo libre (90 m) en sitio autorizado por la entidad Ambiental competente.;M3;124;0;0;124;19077;2365548;ORIENTAL;VIA;VIA;91062399;TRAMO 1;transporte y disposición escombros via;2
