registro;acta;semana;capitulo;competencia;abs_inicial;abs_final;civ;item;descripcion;und;longitud;ancho;espesor;cantidad;valor_unitario;costo_directo;calzada;tramo_inicio;tramo_final;pk_id;tramo;observaciones;contrato_id
48749;71;267;2.RELLENOS;IDU;875;885;1001300;2.10.;GEOTEXTIL NT 4000 PARA ESTABILIZACION SUBRASANTE/CAPAS GRANULARES (Inc. Suministro e Instalación);M2;229.46;1;0;229.46;11519;2643150;OCCIDENTAL;KR 9 CL 173 A CL 180;KR 9 CL 173 A CL 180;91062408;TRAMO 1;"Instalación de geotextil para sub rasante y cierra de tamal en estructura de vía

area de zona intervenida= 229.46 x 2 = 208.98m2
perímetro= 40.96 x 0.50 de altura paredes= 20.48m2 
area total=229.46m2 

 -ABS:875.00-885.00";2
48748;71;267;2.RELLENOS;IDU;875;885;1001300;NP-209;BASE GRANULAR CLASE A (BG_A) RECICLADA. (Suministro, Extendido, Nivelación, Humedecimiento y Compactación con vibrocompactador);m3;13;9.81;0.2;25.51;185278;4726442;OCCIDENTAL;KR 9 CL 173 A CL 180;KR 9 CL 173 A CL 180;91062408;TRAMO 1;Instalación de material granular base reciclada tipo A para estructura de via K875---888-ABS:875.00-885.00;2
48747;71;267;2.RELLENOS;IDU;875;885;1001300;NP-007;Subbase Granular Clase A.(SGBG-A) Con reciclado de concreto hidraulico. (suministro, Extendido Manual , Humedecimiento y Compacatacion con vibrocompactador);m3;104.49;1;0.2;20.9;122300;2556070;OCCIDENTAL;KR 9 CL 173 A CL 180;KR 9 CL 173 A CL 180;91062408;TRAMO 1;Instalación de material granular sub base reciclada tipo A para estructura de vía -ABS:875.00-885.00;2
48746;71;267;2.RELLENOS;IDU;875;885;1001300;NP-008;Subbase Granular Clase C.(SGBG-C) Con reciclado de concreto hidraulico. (suministro, Extendido Manual , Humedecimiento y Compacatacion con vibrocompactador);M3;104.49;1;0.15;15.67;121570;1905002;OCCIDENTAL;KR 9 CL 173 A CL 180;KR 9 CL 173 A CL 180;91062408;TRAMO 1;Instalación de material granular sub base reciclada tipo C para sello de Rajón estructura de via -ABS:875.00-885.00;2
48745;71;267;2.RELLENOS;IDU;875;885;1001300;NP-296;ESTABILIZACIÓN DE SUBRASANTE CON RAJÓN, INCLUYE EQUIPO DE COMPACTACIÓN (SUMINISTRO, EXTENDIDO A MANO, NIVELACIÓN Y COMPACTACIÓN CON RETROEXCAVADORA SOBRE ORUGA Y BENITÍN DE 1 TONELADA INCLUYEN OPERARIO Y COMBUSTIBLE.;M3;10;9.81;0.35;34.34;132363;4545345;OCCIDENTAL;KR 9 CL 173 A CL 180;KR 9 CL 173 A CL 180;91062408;TRAMO 1;Instalación de Rajón para estructura de via-ABS:875.00-885.00;2
48541;71;266;2.RELLENOS;IDU;853;875;1001300;2.10.;GEOTEXTIL NT 4000 PARA ESTABILIZACION SUBRASANTE/CAPAS GRANULARES (Inc. Suministro e Instalación);M2;171;1;0;171;11519;1969749;OCCIDENTAL;KR 9 CL 173 A CL 180;KR 9 CL 173 A CL 180;91062408;TRAMO 1;"Instalación de geotextil para estructura de vía y cierra de tamal en tramo faltante hombro izquierdo

area de base y tapa= 24*3=72m2 x 2 =144m2
perímetro= 54m
altura de mejoramiento=0.50m 
area de paredes=54x0.50=27m2

AREA TOTAL DE GEOTEXTIL= 144M2 + 27M2 = 171M2

 -ABS:851.00-875.00
-Movido desde Reporte 30883_03/02/26";2
48403;71;266;2.RELLENOS;IDU;853;875;1001300;NP-008;Subbase Granular Clase C.(SGBG-C) Con reciclado de concreto hidraulico. (suministro, Extendido Manual , Humedecimiento y Compacatacion con vibrocompactador);M3;24;3;0.15;10.8;121570;1312956;OCCIDENTAL;KR 9 CL 173 A CL 180;KR 9 CL 173 A CL 180;91062408;TRAMO 1;Instalación de material granular sub base reciclada tipo C para sello de Rajón estructura de vía -ABS:853.00-875.00;2
48197;71;263;7.PLUVIAL REDES DE ALCANTARILLADO;IDU;854;871;1001300;NP-043;"TUBERIA PVC U.M. EXT CORRUGADO/INT LISO U.M. NORMA NTC 3722-1 D=20"" (INCLUYE SUMINISTRO E INSTALACIÓN)";ML;16.95;0;0;16.95;255510;4330895;OCCIDENTAL;Pozo #12;Pozo #12A;91062408;TRAMO 1;"Instalación de tubería de 20"" novafort -ABS:854.00-871.00";2
47927;71;270;9.SEÑALIZACION, DEMARCACION Y SEMAFORIZACIÓN;IDU;0;1300;1001348;NP-139;SEÑAL DOBLE DE 60 CM, REFLECTIVO ALTA DENSIDAD TIPO IV EN LAMINA GALVANIZADA, PEDESTAL EN ANGULO SP/SR/SI. (INCLUYE SUMINISTRO E INSTALACIÓN);UN;2;0;0;2;242846;485692;ORIENTAL;Cll170;Cll183;91062402;TRAMO 1;Señal doble-ABS SP-47A7SR-30:0.00-1,300.00;2
47925;71;270;9.SEÑALIZACION, DEMARCACION Y SEMAFORIZACIÓN;IDU;0;1300;1001348;NP-420;SEÑAL VERTICAL GRUPO DE PREVENTIVAS TIPO ROMBO (60cm x 60cm). INCLUYE SUMINISTRO E INSTALACION;UND;3;0;0;3;348545;1045635;ORIENTAL;Cll170;Cll183;91062402;TRAMO 1;Señal SP-46A-ABS:0.00-1,300.00;2
